CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46090E103,QQQ,INVESCO QQQ TR,54532,-1115,31.48M,-643.56K,-2%,1.3%
025072349,AVLV,AMERICAN CENTY TR US LARGE CAP VLU,162193,-10436,13.07M,-841.22K,-6%,0.53%
46641Q332,JEPI,J P MORGAN EXCHANGE-TRADED F EQUITY,19104,-16592,1.08M,-940.6K,-46.5%,0.04%
H42097107,UBS,UBS GROUP AG,0,-24847,0,-1.15M,CLOSE,0%
922020748,VCRB,VANGUARD MALVERN FDS,73817,-15187,5.71M,-1.18M,-17.1%,0.23%
40434L105,HPQ,HP INC,65045,-75000,1.25M,-1.44M,-53.6%,0.05%
47103U845,JAAA,JANUS DETROIT STR TR HENDRSON AAA,232831,-30662,11.73M,-1.54M,-11.6%,0.48%
87161C501,SNV,SYNOVUS FINL CORP,0,-33155,0,-1.66M,CLOSE,0%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,0,-75407,0,-1.81M,CLOSE,0%
47103U852,JMBS,JANUS DETROIT STR TR,6373,-41809,288K,-1.89M,-86.8%,0.01%
02390A101,AMX,AMERICA MOVIL SAB DE CV SPON ADR L,73440,-80000,1.87M,-2.04M,-52.1%,0.08%
922907712,VCRM,VANGUARD MUN BD FDS,27808,-28419,2.09M,-2.14M,-50.5%,0.09%
683797104,OPY,OPPENHEIMER HLDGS INC,100872,-24150,9M,-2.15M,-19.3%,0.37%
03463K752,UYLD,ANGEL OAK FUNDS TRUST,317235,-46800,16.19M,-2.39M,-12.9%,0.66%
922907696,VSDM,VANGUARD MUN BD FDS,0,-35993,0,-2.75M,CLOSE,0%
345370860,F,FORD MTR CO DEL,73282,-285121,846K,-3.29M,-79.6%,0.03%
354613101,BEN,FRANKLIN RESOURCES INC,143436,-148880,3.39M,-3.52M,-50.9%,0.14%
47103U886,VNLA,JANUS DETROIT STR TR HENDRSN SHRT,269053,-80515,13.15M,-3.93M,-23%,0.54%
808513105,SCHW,SCHWAB CHARLES CORP NEW,280425,-47881,26.35M,-4.5M,-14.6%,1.1%
37954Y830,COPX,GLOBAL X FDS,0,-72863,0,-5.23M,CLOSE,0%
38141G104,GS,GOLDMAN SACHS GROUP INC,11155,-18023,9.44M,-15.25M,-61.8%,0.39%
88160R101,TSLA,TESLA MTRS INC,1925,-50128,715K,-18.62M,-96.3%,0.03%
Total,,,,,2.45B,327.12M,+14.6%,100%
