CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
35671D857,FCX,FREEPORT-MCMORAN INC,0,-288124,0,-14.63M,CLOSE,0%
09073M104,TECH,BIO-TECHNE CORP,0,-249070,0,-14.65M,CLOSE,0%
171779309,CIEN,CIENA CORP,18466,-38015,7.17M,-14.76M,-67.3%,0.38%
93403J106,WRBY,WARBY PARKER INC,500706,-731467,10.55M,-15.41M,-59.4%,0.56%
G5S37H101,MRX,MAREX GROUP PLC,0,-418745,0,-16.06M,CLOSE,0%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,0,-175646,0,-16.7M,CLOSE,0%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,29833,-198625,2.52M,-16.8M,-86.9%,0.13%
077347300,BELFB,BEL FUSE INC,53170,-86343,10.53M,-17.09M,-61.9%,0.56%
31847R102,FAF,FIRST AMERN FINL CORP,0,-320670,0,-19.7M,CLOSE,0%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,32043,-116482,5.62M,-20.44M,-78.4%,0.3%
336433107,FSLR,FIRST SOLAR INC,0,-78761,0,-20.57M,CLOSE,0%
65487K100,LASR,NLIGHT INC,225576,-364857,12.86M,-20.8M,-61.8%,0.68%
607828100,MOD,MODINE MFG CO,412092,-123855,89.3M,-26.84M,-23.1%,4.8%
87305R109,TTMI,TTM TECHNOLOGIES INC,727494,-419188,70.87M,-40.84M,-36.6%,3.8%
Total,,,,,1.88B,-9.48M,-0.5%,100%
