CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
48716P108,KRNY,KEARNY FINL CORP MD,38265,-142421,288.9K,-1.08M,-78.8%,<.01%
981475106,WKC,WORLD KINECT CORPORATION,13074,-46982,301.62K,-1.08M,-78.2%,<.01%
880345103,TNC,TENNANT CO,0,-14789,0,-1.09M,CLOSE,0%
38267D109,GSHD,GOOSEHEAD INS INC,0,-14818,0,-1.09M,CLOSE,0%
35138V102,FOXF,FOX FACTORY HLDG CORP,0,-64458,0,-1.1M,CLOSE,0%
48138M105,JMIA,JUMIA TECHNOLOGIES AG,105051,-160527,724.85K,-1.11M,-60.4%,<.01%
09261X102,BXSL,BLACKSTONE SECD LENDING FD,0,-42081,0,-1.11M,CLOSE,0%
957638109,WAL,WESTERN ALLIANCE BANCORP,0,-13183,0,-1.11M,CLOSE,0%
709789101,PEBO,PEOPLES BANCORP INC,0,-36931,0,-1.11M,CLOSE,0%
464287580,IYC,ISHARES TR,0,-10758,0,-1.11M,CLOSE,0%
440327104,HMN,HORACE MANN EDUCATORS CORP N,38407,-26062,1.64M,-1.11M,-40.4%,<.01%
74467Q103,PUBM,PUBMATIC INC,22303,-136611,182.44K,-1.12M,-86%,<.01%
63888U108,NGVC,NATURAL GROCERS BY VITAMIN,69970,-43356,1.81M,-1.12M,-38.3%,<.01%
589400100,MCY,MERCURY GENL CORP NEW,32590,-12728,2.87M,-1.12M,-28.1%,<.01%
891092108,TTC,TORO CO,91295,-12025,8.53M,-1.12M,-11.6%,0.01%
35086T109,FCPT,FOUR CORNERS PPTY TR INC,78433,-49303,1.85M,-1.17M,-38.6%,<.01%
G29018101,DLO,DLOCAL LTD,0,-82981,0,-1.17M,CLOSE,0%
974250102,WINA,WINMARK CORP,0,-2922,0,-1.18M,CLOSE,0%
886029206,THRY,THRYV HLDGS INC,0,-195886,0,-1.19M,CLOSE,0%
515098101,LSTR,LANDSTAR SYS INC,0,-8324,0,-1.2M,CLOSE,0%
H00263105,ACIU,AC IMMUNE SA,0,-384845,0,-1.21M,CLOSE,0%
825107105,SHBI,SHORE BANCSHARES INC,0,-68465,0,-1.21M,CLOSE,0%
558256103,MSGE,MADISON SQUARE GARDEN ENTMT,1801753,-20560,106.14M,-1.21M,-1.1%,0.18%
03969T109,ARCT,ARCTURUS THERAPEUTICS HLDGS,63845,-158318,492.88K,-1.22M,-71.3%,<.01%
52886X107,LXEO,LEXEO THERAPEUTICS INC,1680449,-214273,9.65M,-1.23M,-11.3%,0.02%
65342K105,NEXT,NEXTDECADE CORP,456828,-161334,3.5M,-1.24M,-26.1%,<.01%
62855J104,MYGN,MYRIAD GENETICS INC,957901,-274767,4.31M,-1.24M,-22.3%,<.01%
38246G108,GDRX,GOODRX HLDGS INC,0,-458712,0,-1.24M,CLOSE,0%
156727109,CRNC,CERENCE INC,132795,-198559,837.94K,-1.25M,-59.9%,<.01%
88556E102,TDUP,THREDUP INC,452055,-383926,1.48M,-1.26M,-45.9%,<.01%
90353W103,UI,UBIQUITI INC,0,-2296,0,-1.27M,CLOSE,0%
740367404,PFBC,PREFERRED BK LOS ANGELES CA,3512,-14076,318.5K,-1.28M,-80%,<.01%
22284P105,CVLG,COVENANT LOGISTICS GROUP INC,0,-57966,0,-1.28M,CLOSE,0%
609027107,MCRI,MONARCH CASINO & RESORT INC,42348,-13364,4.05M,-1.28M,-24%,<.01%
22041X102,CRSR,CORSAIR GAMING INC,0,-215147,0,-1.28M,CLOSE,0%
74347Y730,VIXY,PROSHARES TR II,0,-50000,0,-1.28M,CLOSE,0%
714266103,PPTA,PERPETUA RESOURCES CORP,0,-53500,0,-1.3M,CLOSE,0%
M40527109,ENTX,ENTERA BIO LTD,12382,-1181271,13.74K,-1.31M,-99%,<.01%
729640102,PLYM,PLYMOUTH INDL REIT INC,0,-60607,0,-1.33M,CLOSE,0%
