CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
559663109,MGY,MAGNOLIA OIL & GAS CORP,7258,7258,229.13K,229.13K,NEW,<.01%
29430C102,VSTS,VESTIS CORPORATION,29000,29000,227.94K,227.94K,NEW,<.01%
63947X101,NCNO,NCINO INC,15000,15000,224.7K,224.7K,NEW,<.01%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,13851,13851,220.51K,220.51K,NEW,<.01%
723484101,PNW,PINNACLE WEST CAP CORP,9429,2171,949.97K,218.73K,+29.9%,0.02%
554382101,MAC,MACERICH CO,13173,11557,248.97K,218.43K,+715.2%,<.01%
216648501,COO,COOPER COS INC,3025,3025,216.29K,216.29K,NEW,<.01%
758750103,RRX,REGAL REXNORD CORPORATION,1139,1139,213.29K,213.29K,NEW,<.01%
46121Y201,IPI,INTREPID POTASH INC,4955,4955,211.93K,211.93K,NEW,<.01%
37954Y673,PAVE,GLOBAL X FDS,4155,4155,211.12K,211.12K,NEW,<.01%
733174700,BPOP,POPULAR INC,1543,1543,207.02K,207.02K,NEW,<.01%
88025T102,TENB,TENABLE HLDGS INC,12215,12215,206.62K,206.62K,NEW,<.01%
941848103,WAT,WATERS CORP,693,693,206.38K,206.38K,NEW,<.01%
68268W103,OMF,ONEMAIN HLDGS INC,10569,3850,565.34K,205.94K,+57.3%,0.01%
23703Q203,DQ,DAQO NEW ENERGY CORP,9663,9663,205.53K,205.53K,NEW,<.01%
399909100,GGAL,GRUPO FINANCIERO GALICIA S.A,11738,4374,548.28K,204.31K,+59.4%,0.01%
826599102,SGML,SIGMA LITHIUM CORPORATION,16030,16030,197.81K,197.81K,NEW,<.01%
574795100,MASI,MASIMO CORP,1100,1100,195.66K,195.66K,NEW,<.01%
531229755,FWONK,LIBERTY MEDIA CORP DEL,5837,2301,496.26K,195.63K,+65.1%,0.01%
29258Y103,EXK,ENDEAVOUR SILVER CORP,20927,20927,194.83K,194.83K,NEW,<.01%
87918A105,TDOC,TELADOC HEALTH INC,233646,35413,1.27M,193K,+17.9%,0.03%
53115L104,LBRT,LIBERTY ENERGY INC,6478,6478,186.57K,186.57K,NEW,<.01%
754907103,RYN,RAYONIER INC,8876,8876,183.02K,183.02K,NEW,<.01%
G35947202,FLNG,FLEX LNG LTD,8316,6160,247.07K,183.01K,+285.7%,<.01%
86333M108,LRN,STRIDE INC,2053,2053,181.01K,181.01K,NEW,<.01%
533900106,LECO,LINCOLN ELEC HLDGS INC,716,716,178.34K,178.34K,NEW,<.01%
690370101,BBBY,BED BATH & BEYOND INC,71480,37764,331.67K,175.22K,+112%,<.01%
404280406,HSBC,HSBC HLDGS PLC,2123,2123,175.13K,175.13K,NEW,<.01%
M7518J104,ODD,ODDITY TECH LTD,13023,13023,174.25K,174.25K,NEW,<.01%
354613101,BEN,FRANKLIN RESOURCES INC,7370,7370,174.08K,174.08K,NEW,<.01%
00215W100,ASX,ASE TECHNOLOGY HLDG CO LTD,7911,7911,171.51K,171.51K,NEW,<.01%
226718104,CRTO,CRITEO S A,9565,9565,171.5K,171.5K,NEW,<.01%
030111207,AMSC,AMERICAN SUPERCONDUCTOR CORP,5065,5065,171.45K,171.45K,NEW,<.01%
74347M108,PUMP,PROPETRO HLDG CORP,11697,11697,168.55K,168.55K,NEW,<.01%
392709101,GRBK,GREEN BRICK PARTNERS INC,2568,2568,165.51K,165.51K,NEW,<.01%
G0260P102,AS,AMER SPORTS INC,4959,4959,163.25K,163.25K,NEW,<.01%
020002101,ALL,ALLSTATE CORP,10874,786,2.25M,162.97K,+7.8%,0.05%
G97822103,PRGO,PERRIGO CO PLC,14969,14969,160.77K,160.77K,NEW,<.01%
57164Y107,VAC,MARRIOTT VACATIONS WORLDWIDE,2456,2456,159.94K,159.94K,NEW,<.01%
64125C109,NBIX,NEUROCRINE BIOSCIENCES INC,1697,1197,223.56K,157.69K,+239.4%,<.01%
46269C102,IRDM,IRIDIUM COMMUNICATIONS INC,37660,5582,1.04M,154.84K,+17.4%,0.02%
N14506104,ESTC,ELASTIC N V,22366,3082,1.12M,154.07K,+16%,0.02%
36866J105,GEMI,GEMINI SPACE STA INC,34631,34631,153.07K,153.07K,NEW,<.01%
023608102,AEE,AMEREN CORP,11614,1355,1.28M,148.94K,+13.2%,0.03%
87043Q108,SG,SWEETGREEN INC,321652,28664,1.67M,148.77K,+9.8%,0.03%
G8060N102,ST,SENSATA TECHNOLOGIES HLDG PL,4200,4200,147.92K,147.92K,NEW,<.01%
98585X104,YETI,YETI HLDGS INC,4014,4014,146.87K,146.87K,NEW,<.01%
55306N104,MKSI,MKS INC.,1985,636,456.17K,146.16K,+47.1%,<.01%
866674104,SUI,SUN CMNTYS INC,1134,1134,142.84K,142.84K,NEW,<.01%
55825T103,MSGS,MADISON SQUARE GRDN SPRT COR,444,444,142.7K,142.7K,NEW,<.01%
52490G102,LEGN,LEGEND BIOTECH CORP,12744,7886,230.54K,142.66K,+162.3%,<.01%
75960P104,RELY,REMITLY GLOBAL INC,9087,9087,142.39K,142.39K,NEW,<.01%
860630102,SF,STIFEL FINL CORP,3217,1900,237.8K,140.45K,+144.3%,<.01%
637417106,NNN,NNN REIT INC,3302,3302,138.78K,138.78K,NEW,<.01%
