CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
35086T109,FCPT,FOUR CORNERS PPTY TR INC,86426,-6054,2.04M,-143.18K,-6.5%,<.01%
74112D101,PBH,PRESTIGE CONSMR HEALTHCARE I,207096,-2581,12.27M,-152.98K,-1.2%,<.01%
830879102,SKYW,SKYWEST INC,15814,-1703,1.45M,-156.39K,-9.7%,<.01%
437076102,HD,HOME DEPOT INC,11741,-476,3.86M,-156.55K,-3.9%,<.01%
88025U109,TXG,10X GENOMICS INC,59089,-7880,1.25M,-167.29K,-11.8%,<.01%
02215L209,KNTK,KINETIK HOLDINGS INC,266607,-3519,12.91M,-170.35K,-1.3%,<.01%
G6359F137,NBR,NABORS INDUSTRIES LTD,16823,-2131,1.45M,-183.39K,-11.2%,<.01%
G3323L100,FN,FABRINET,2592,-395,1.35M,-206K,-13.2%,<.01%
28852N109,EFC,ELLINGTON FINANCIAL INC,121036,-17481,1.43M,-207.15K,-12.6%,<.01%
49926D109,KN,KNOWLES CORP,43110,-8991,1.11M,-230.89K,-17.3%,<.01%
450056106,IRTC,IRHYTHM HOLDINGS INC,137040,-2019,16.17M,-238.28K,-1.5%,0.01%
53115L104,LBRT,LIBERTY ENERGY INC,42854,-8321,1.23M,-239.64K,-16.3%,<.01%
16115Q308,GTLS,CHART INDS INC,1244,-1194,257.12K,-246.79K,-49%,<.01%
04316A108,APAM,ARTISAN PARTNERS ASSET MGMT,41342,-7438,1.5M,-270.67K,-15.2%,<.01%
50187T106,LGIH,LGI HOMES INC,21930,-7027,866.89K,-277.78K,-24.3%,<.01%
759916109,RGEN,REPLIGEN CORP,121239,-2361,14.28M,-278.17K,-1.9%,<.01%
505743104,LADR,LADDER CAP CORP,7706413,-30268,75.29M,-295.72K,-0.4%,0.05%
580589109,MGRC,MCGRATH RENTCORP,17624,-2800,1.94M,-308.78K,-13.7%,<.01%
G3934V109,GENI,GENIUS SPORTS LIMITED,0,-28826,0,-317.66K,CLOSE,0%
153527205,CENTA,CENTRAL GARDEN & PET CO,48375,-10198,1.57M,-330.62K,-17.4%,<.01%
422704106,HL,HECLA MINING COMPANY,65426,-18398,1.22M,-342.75K,-21.9%,<.01%
72651A207,PAGP,PLAINS GP HLDGS L P,1126827,-14875,27.36M,-361.17K,-1.3%,0.02%
26740W109,QBTS,D-WAVE QUANTUM INC,0,-14226,0,-372.01K,CLOSE,0%
00724F101,ADBE,ADOBE INC,0,-1080,0,-378.08K,CLOSE,0%
88146M101,TRNO,TERRENO RLTY CORP,22730,-6732,1.4M,-413.48K,-22.8%,<.01%
22002T108,CDP,COPT DEFENSE PROPERTIES,60248,-13774,1.84M,-421.48K,-18.6%,<.01%
464287374,IGE,ISHARES TR,8872,-6863,558.4K,-431.95K,-43.6%,<.01%
04626A103,ALAB,ASTERA LABS INC,0,-2630,0,-437.53K,CLOSE,0%
71844V201,PECO,PHILLIPS EDISON & CO INC,0,-12599,0,-448.15K,CLOSE,0%
26701L100,BROS,DUTCH BROS INC,373188,-8879,18.91M,-449.81K,-2.3%,0.01%
750917106,RMBS,RAMBUS INC DEL,6739,-5233,579.76K,-450.19K,-43.7%,<.01%
192108504,CDE,COEUR MNG INC,58050,-25105,1.09M,-471.22K,-30.2%,<.01%
922908736,VUG,VANGUARD INDEX FDS,11069,-1112,4.84M,-485.73K,-9.1%,<.01%
723484101,PNW,PINNACLE WEST CAP CORP,226053,-4879,22.77M,-491.56K,-2.1%,0.02%
559663109,MGY,MAGNOLIA OIL & GAS CORP,0,-22806,0,-499.22K,CLOSE,0%
94106B101,WCN,WASTE CONNECTIONS INC,10134,-3162,1.65M,-513.64K,-23.8%,<.01%
565788106,MARA,MARA HOLDINGS INC,0,-58055,0,-521.33K,CLOSE,0%
165303108,CPK,CHESAPEAKE UTILS CORP,474863,-4318,60.01M,-545.67K,-0.9%,0.04%
75734B100,RDDT,REDDIT INC,2063,-4053,277.83K,-545.82K,-66.3%,<.01%
72703X106,PL,PLANET LABS PBC,17463,-19581,488.09K,-547.29K,-52.9%,<.01%
02156V109,OKLO,OKLO INC,0,-7877,0,-565.25K,CLOSE,0%
500255104,KSS,KOHLS CORP,0,-27783,0,-567.05K,CLOSE,0%
29355X107,NPO,ENPRO INC,0,-2664,0,-570.44K,CLOSE,0%
74762E102,PWR,QUANTA SVCS INC,126700,-1060,69.56M,-581.96K,-0.8%,0.05%
433000106,HIMS,HIMS & HERS HEALTH INC,0,-17960,0,-583.16K,CLOSE,0%
03957W106,AROC,ARCHROCK INC,0,-22637,0,-589.01K,CLOSE,0%
12504L109,CBRE,CBRE GROUP INC,264097,-4359,35.77M,-590.47K,-1.6%,0.02%
00827B106,AFRM,AFFIRM HLDGS INC,0,-8151,0,-606.68K,CLOSE,0%
41068X100,HASI,HA SUSTAINABLE INFRA CAP INC,0,-19394,0,-609.55K,CLOSE,0%
077454106,BDC,BELDEN INC,0,-5410,0,-630.53K,CLOSE,0%
90184D100,TWST,TWIST BIOSCIENCE CORP,605188,-13745,28.76M,-653.16K,-2.2%,0.02%
00206R102,T,AT&T INC,3647490,-22752,105.74M,-659.58K,-0.6%,0.07%
861896108,SNEX,STONEX GROUP INC,0,-6972,0,-663.25K,CLOSE,0%
G4766E116,INDV,INDIVIOR PLC,0,-19081,0,-684.63K,CLOSE,0%
03782L101,APPN,APPIAN CORP,0,-20141,0,-713.4K,CLOSE,0%
60255C885,DFTX,MIND MEDICINE MINDMED INC,0,-53785,0,-720.18K,CLOSE,0%
26441C204,DUK,DUKE ENERGY CORP NEW,254901,-5502,33.38M,-720.43K,-2.1%,0.02%
896945201,TRIP,TRIPADVISOR INC,0,-50673,0,-737.8K,CLOSE,0%
293712105,EFSC,ENTERPRISE FINL SVCS CORP,607892,-13932,32.89M,-753.86K,-2.2%,0.02%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,17319,-9610,1.36M,-755.92K,-35.7%,<.01%
53947R105,LOAR,LOAR HOLDINGS INC,0,-11390,0,-774.52K,CLOSE,0%
911363109,URI,UNITED RENTALS INC,45097,-1100,32.86M,-801.42K,-2.4%,0.02%
98983L108,ZWS,ZURN ELKAY WATER SOLNS CORP,410841,-18407,18.42M,-825.37K,-4.3%,0.01%
49845K101,KVYO,KLAVIYO INC,0,-25559,0,-829.9K,CLOSE,0%
G1466R173,BORR,BORR DRILLING LTD,0,-212364,0,-855.83K,CLOSE,0%
02553E106,AEO,AMERICAN EAGLE OUTFITTERS IN,0,-32754,0,-863.72K,CLOSE,0%
97717W422,EPI,WISDOMTREE TR,11151,-21185,454.96K,-864.35K,-65.5%,<.01%
297602104,ETD,ETHAN ALLEN INTERIORS INC,0,-37955,0,-866.89K,CLOSE,0%
031162100,AMGN,AMGEN INC,129980,-2484,45.73M,-874K,-1.9%,0.03%
007973100,AEIS,ADVANCED ENERGY INDS,5191,-2761,1.68M,-891K,-34.7%,<.01%
771049103,RBLX,ROBLOX CORP,438326,-15983,24.79M,-904K,-3.5%,0.02%
60471A101,MIR,MIRION TECHNOLOGIES INC,942696,-49887,17.52M,-927.4K,-5%,0.01%
531229755,FWONK,LIBERTY MEDIA CORP DEL,0,-9631,0,-948.75K,CLOSE,0%
25402D102,DOCN,DIGITALOCEAN HLDGS INC,0,-20037,0,-964.18K,CLOSE,0%
15101Q207,CLS,CELESTICA INC,0,-3271,0,-966.94K,CLOSE,0%
