CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
33734X846,CIBR,FIRST TR EXCHANGE TRADED FD,0,-2867,0,-204.85K,CLOSE,0%
693475105,PNC,PNC FINL SVCS GROUP INC,0,-1019,0,-212.71K,CLOSE,0%
38964R203,ETH,GRAYSCALE ETHEREUM MINI TR E,0,-7735,0,-217.04K,CLOSE,0%
363576109,AJG,GALLAGHER ARTHUR J & CO,0,-845,0,-218.56K,CLOSE,0%
92840M102,VST,VISTRA CORP,0,-1365,0,-220.24K,CLOSE,0%
98980G102,ZS,ZSCALER INC,0,-1011,0,-227.39K,CLOSE,0%
81369Y209,XLV,SELECT SECTOR SPDR TR,0,-1483,0,-229.51K,CLOSE,0%
G29183103,ETN,EATON CORP PLC,2087,-660,746.46K,-236.06K,-24%,0.23%
05464C101,AXON,AXON ENTERPRISE INC,0,-450,0,-255.57K,CLOSE,0%
277432100,EMN,EASTMAN CHEM CO,17082,-3488,1.3M,-266.21K,-17%,0.41%
670100205,NVO,NOVO-NORDISK A S,0,-5486,0,-279.13K,CLOSE,0%
46428Q109,SLV,ISHARES SILVER TR,2765,-4324,188.41K,-294.64K,-61%,0.06%
003263100,GLTR,ABRDN PRECIOUS METALS BASKET,0,-1487,0,-305.73K,CLOSE,0%
09174C104,BITB,BITWISE BITCOIN ETF TR,0,-6587,0,-313.28K,CLOSE,0%
770700102,HOOD,ROBINHOOD MKTS INC,0,-4009,0,-453.42K,CLOSE,0%
14040H105,COF,CAPITAL ONE FINL CORP,2755,-2882,502.61K,-525.78K,-51.1%,0.16%
88579Y101,MMM,3M CO,0,-3450,0,-552.31K,CLOSE,0%
09260D107,BX,BLACKSTONE INC,1981,-5807,227.79K,-667.75K,-74.6%,0.07%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,3297,-1407,2.14M,-915.09K,-29.9%,0.67%
949746101,WFC,WELLS FARGO & CO,3331,-13908,265.15K,-1.11M,-80.7%,0.08%
02072L565,BOXX,EA SERIES TRUST,38691,-17429,4.5M,-2.03M,-31.1%,1.4%
Total,,,,,319.51M,30.86M,+10.2%,100%
