CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
25461A569,AVL,DIREXION SHARES ETF TRUST DLY AVGO,7020,-125403,230.81K,-4.12M,-94.7%,0.03%
25460G187,CWEB,DIREXION SHARES ETF TRUST DAILY,11090,-159016,296.88K,-4.26M,-93.5%,0.04%
500767306,KWEB,KRANESHARES TRUST CSI,29983,-204696,852.42K,-5.82M,-87.2%,0.11%
01609W102,BABA,ALIBABA GROUP HLDG,0,-41991,0,-6.16M,CLOSE,0%
25460G195,YINN,DIREXION SHS ETF TR DL FTSE,0,-163625,0,-6.97M,CLOSE,0%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,54016,-59873,7.9M,-8.76M,-52.6%,1.1%
80004C200,SNDK,SANDISK CORP,6335,-20819,4.02M,-13.23M,-76.7%,0.54%
958102105,WDC,WESTERN DIGITAL CORP,641,-81063,173.38K,-21.93M,-99.2%,0.02%
007903107,AMD,ADVANCED MICRO DEVICES INC,67858,-146449,13.8M,-29.79M,-68.3%,1.8%
11135F101,AVGO,BROADCOM INC,0,-88526,0,-30.64M,CLOSE,0%
86800U302,SMCI,SUPER MICRO COMPUTER INC,0,-1254996,0,-36.73M,CLOSE,0%
46090E103,QQQ,INVESCO QQQ TR UNIT,0,-85555,0,-52.56M,CLOSE,0%
Total,,,,,749.79M,214.17M,+39.6%,100%
